fold,model_type,split,loss,accuracy,auc,precision,recall,f1
1,foundation,val,0.5026076436042786,0.8571428656578064,0.8673469424247742,0.8571428656578064,0.8571428656578064,0.8571428060531616
1,foundation,test,0.4078384041786194,0.800000011920929,0.9600000381469727,0.800000011920929,0.800000011920929,0.800000011920929
1,transfer,val,0.3816869556903839,0.8571428656578064,0.9285714030265808,0.8571428656578064,0.8571428656578064,0.8571428060531616
1,transfer,test,0.14355939626693726,1.0,1.0,1.0,1.0,1.0
2,foundation,val,0.4999094605445862,0.7857142686843872,0.8622448444366455,0.7857142686843872,0.7857142686843872,0.7857141494750977
2,foundation,test,0.40087300539016724,0.800000011920929,0.9600000381469727,0.800000011920929,0.800000011920929,0.800000011920929
2,transfer,val,0.35412630438804626,0.8571428656578064,0.9591836929321289,0.8571428656578064,0.8571428656578064,0.8571428060531616
2,transfer,test,0.13740655779838562,1.0,0.9999999403953552,1.0,1.0,1.0
3,foundation,val,0.4584265351295471,0.7857142686843872,0.882652997970581,0.7857142686843872,0.7857142686843872,0.7857141494750977
3,foundation,test,0.3855563700199127,1.0,1.0,1.0,1.0,1.0
3,transfer,val,0.3550398647785187,0.8571428656578064,0.9438775181770325,0.8571428656578064,0.8571428656578064,0.8571428060531616
3,transfer,test,0.16175229847431183,1.0,1.0,1.0,1.0,1.0
4,foundation,val,0.48740583658218384,0.8571428656578064,0.8877550959587097,0.8571428656578064,0.8571428656578064,0.8571428060531616
4,foundation,test,0.376081258058548,1.0,1.0,1.0,1.0,1.0
4,transfer,val,0.3723188042640686,0.8571428656578064,0.9387755393981934,0.8571428656578064,0.8571428656578064,0.8571428060531616
4,transfer,test,0.15193311870098114,1.0,1.0,1.0,1.0,1.0
5,foundation,val,0.4350254535675049,0.8571428656578064,0.8826531171798706,0.8571428656578064,0.8571428656578064,0.8571428060531616
5,foundation,test,0.34748968482017517,1.0,1.0,1.0,1.0,1.0
5,transfer,val,0.33408334851264954,0.8571428656578064,0.9591836929321289,0.8571428656578064,0.8571428656578064,0.8571428060531616
5,transfer,test,0.12493501603603363,1.0,1.0,1.0,1.0,1.0
6,foundation,val,0.40188196301460266,0.8571428656578064,0.9183673858642578,0.8571428656578064,0.8571428656578064,0.8571428060531616
6,foundation,test,1.8407933712005615,0.4000000059604645,0.0,1.0,0.5,0.6666666269302368
6,transfer,val,0.23099972307682037,0.9285714030265808,0.9795918464660645,0.9285714030265808,0.9285714030265808,0.928571343421936
6,transfer,test,2.8346059322357178,0.6000000238418579,0.0,1.0,0.5,0.6666666269302368
7,foundation,val,0.42507854104042053,0.8571428656578064,0.8928571939468384,0.8571428656578064,0.8571428656578064,0.8571428060531616
7,foundation,test,1.847970724105835,0.4000000059604645,0.0,1.0,0.5,0.6666666269302368
7,transfer,val,0.220489501953125,0.9285714030265808,0.9948979616165161,0.9285714030265808,0.9285714030265808,0.928571343421936
7,transfer,test,3.008779287338257,0.6000000238418579,0.0,1.0,0.5,0.6666666269302368
8,foundation,val,0.37629035115242004,0.8571428656578064,0.954081654548645,0.8571428656578064,0.8571428656578064,0.8571428060531616
8,foundation,test,1.8088585138320923,0.6000000238418579,0.0,1.0,0.5,0.6666666269302368
8,transfer,val,0.2191098928451538,0.9285714030265808,0.9948979616165161,0.9285714030265808,0.9285714030265808,0.928571343421936
8,transfer,test,2.878760576248169,0.6000000238418579,0.0,1.0,0.5,0.6666666269302368
9,foundation,val,0.3915404975414276,0.7857142686843872,0.9438775777816772,0.7857142686843872,0.7857142686843872,0.7857141494750977
9,foundation,test,1.8278754949569702,0.6000000238418579,0.0,1.0,0.5,0.6666666269302368
9,transfer,val,0.2508138120174408,0.9285714030265808,0.9642857313156128,0.9285714030265808,0.9285714030265808,0.928571343421936
9,transfer,test,2.998283863067627,0.6000000238418579,0.0,1.0,0.5,0.6666666269302368
10,foundation,val,0.37685427069664,0.8571428656578064,0.9489795565605164,0.8571428656578064,0.8571428656578064,0.8571428060531616
10,foundation,test,1.8210523128509521,0.6000000238418579,0.0,1.0,0.5,0.6666666269302368
10,transfer,val,0.24917910993099213,0.8571428656578064,0.9744898080825806,0.8571428656578064,0.8571428656578064,0.8571428060531616
10,transfer,test,2.8979766368865967,0.6000000238418579,0.0,1.0,0.5,0.6666666269302368
11,foundation,val,0.39579686522483826,0.7857142686843872,0.9158163070678711,0.7857142686843872,0.7857142686843872,0.7857141494750977
11,foundation,test,0.7745363712310791,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.5999999642372131
11,transfer,val,0.39361992478370667,0.8571428656578064,0.9030612707138062,0.8571428656578064,0.8571428656578064,0.8571428060531616
11,transfer,test,0.8768812417984009,0.6000000238418579,0.5199999809265137,0.6000000238418579,0.6000000238418579,0.5999999642372131
12,foundation,val,0.4002510607242584,0.8571428656578064,0.9081631898880005,0.8571428656578064,0.8571428656578064,0.8571428060531616
12,foundation,test,0.867745041847229,0.6000000238418579,0.5199999809265137,0.6000000238418579,0.6000000238418579,0.5999999642372131
12,transfer,val,0.3956708312034607,0.8571428656578064,0.8979591727256775,0.8571428656578064,0.8571428656578064,0.8571428060531616
12,transfer,test,1.0722984075546265,0.4000000059604645,0.47999998927116394,0.4000000059604645,0.4000000059604645,0.3999999761581421
13,foundation,val,0.40469691157341003,0.8571428656578064,0.9183673858642578,0.8571428656578064,0.8571428656578064,0.8571428060531616
13,foundation,test,0.8584095239639282,0.4000000059604645,0.48000001907348633,0.4000000059604645,0.4000000059604645,0.3999999761581421
13,transfer,val,0.3968989849090576,0.7857142686843872,0.9132653474807739,0.7857142686843872,0.7857142686843872,0.7857141494750977
13,transfer,test,1.1876368522644043,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.3999999761581421
14,foundation,val,0.3883722722530365,0.8571428656578064,0.9285714626312256,0.8571428656578064,0.8571428656578064,0.8571428060531616
14,foundation,test,0.8408222198486328,0.4000000059604645,0.47999998927116394,0.4000000059604645,0.4000000059604645,0.3999999761581421
14,transfer,val,0.38742297887802124,0.8571428656578064,0.9234694242477417,0.8571428656578064,0.8571428656578064,0.8571428060531616
14,transfer,test,0.9235516786575317,0.4000000059604645,0.48000001907348633,0.4000000059604645,0.4000000059604645,0.3999999761581421
15,foundation,val,0.39636310935020447,0.8571428656578064,0.9081632494926453,0.8571428656578064,0.8571428656578064,0.8571428060531616
15,foundation,test,0.8756397366523743,0.4000000059604645,0.47999998927116394,0.4000000059604645,0.4000000059604645,0.3999999761581421
15,transfer,val,0.39313235878944397,0.8571428656578064,0.9081632494926453,0.8571428656578064,0.8571428656578064,0.8571428060531616
15,transfer,test,1.012736439704895,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.3999999761581421
